City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,San Juan,AR,2022-11-28 01:49:23,-31.5375,-68.5364,88.11,24,100,16.69
160,Oranjemund,NA,2022-11-28 01:53:23,-28.55,16.4333,59.74,88,0,4.59
161,Atambua,ID,2022-11-28 01:53:24,-9.1061,124.8925,82.54,69,80,5.12
162,Killybegs,IE,2022-11-28 01:53:24,54.6333,-8.45,45.88,84,100,13.15
163,Avera,US,2022-11-28 01:53:24,33.194,-82.5271,60.31,65,0,12.71
164,Ribeira Grande,PT,2022-11-28 01:53:25,38.5167,-28.7,67.77,94,100,21.99
165,Carauari,BR,2022-11-28 01:53:25,-4.8828,-66.8958,72.45,98,100,2.66
166,Santo Tomas,PH,2022-11-28 01:53:25,14.1079,121.1414,87.57,63,34,8.93
167,Kahului,US,2022-11-28 01:53:26,20.8947,-156.47,77.97,81,40,9.22
168,Tuktoyaktuk,CA,2022-11-28 01:53:26,69.4541,-133.0374,-25.6,75,75,6.91
169,Kruisfontein,ZA,2022-11-28 01:53:27,-34.0033,24.7314,62.89,95,0,4.56
170,Korla,CN,2022-11-28 01:53:27,41.7597,86.1469,18.7,32,0,12.26
171,Petropavlovsk-Kamchatskiy,RU,2022-11-28 01:53:27,53.0452,158.6483,30.79,86,75,6.71
172,Sioux Lookout,CA,2022-11-28 01:53:28,50.1001,-91.917,26.67,68,100,4.61
173,Leeuwarden,NL,2022-11-28 01:53:28,53.2014,5.8086,44.01,97,100,9.22
174,Chuy,UY,2022-11-28 01:53:29,-33.6971,-53.4616,66.16,96,4,9.01
175,Contamana,PE,2022-11-28 01:53:29,-7.3333,-75.0167,73.13,92,100,2.46
176,East London,ZA,2022-11-28 01:53:30,-33.0153,27.9116,64.2,83,34,8.23
177,Bethlehem,BR,2022-11-28 01:52:34,-1.4558,-48.5044,80.64,78,40,6.91
178,Ulverstone,AU,2022-11-28 01:53:30,-41.15,146.1667,58.21,68,98,17.25
179,Sola,VU,2022-11-28 01:53:31,-13.8833,167.55,75.87,94,100,0.0
180,Torun,PL,2022-11-28 01:53:31,53.0137,18.5981,36.46,98,79,1.01
181,Camocim,BR,2022-11-28 01:48:55,-2.9022,-40.8411,78.37,79,100,10.65
182,Asosa,ET,2022-11-28 01:54:31,10.0667,34.5333,63.55,55,100,3.74
183,Carnarvon,AU,2022-11-28 01:54:32,-24.8667,113.6333,82.13,44,0,11.61
184,Natal,BR,2022-11-28 01:51:34,-5.795,-35.2094,79.45,83,75,10.36
185,Santa Lucia,ES,2022-11-28 01:52:47,27.9117,-15.5407,61.92,73,20,17.27
186,Esso,RU,2022-11-28 01:54:33,55.9333,158.7,30.97,97,100,3.02
187,Richards Bay,ZA,2022-11-28 01:54:33,-28.783,32.0377,67.68,81,89,7.11
188,Bulungu,CD,2022-11-28 01:54:33,-4.55,18.6,68.95,96,100,0.85
189,Hun,LY,2022-11-28 01:54:34,29.1268,15.9477,57.45,80,47,19.95
190,Malinovskiy,RU,2022-11-28 01:54:34,61.1953,62.8397,-3.78,98,84,3.22
191,Bayanday,RU,2022-11-28 01:54:34,53.0661,105.5139,-16.38,80,99,9.17
192,Hollola,FI,2022-11-28 01:54:35,61.05,25.4333,30.47,97,100,5.21
193,Ahipara,NZ,2022-11-28 01:54:35,-35.1667,173.1667,63.75,59,100,10.18
194,Pergamino,AR,2022-11-28 01:54:35,-33.89,-60.5736,76.12,53,0,14.03
195,Moose Factory,CA,2022-11-28 01:54:36,51.2585,-80.6094,23.0,93,0,6.91
196,Nanortalik,GL,2022-11-28 01:54:36,60.1432,-45.2371,28.35,88,88,7.63
197,Nepomuk,CZ,2022-11-28 01:54:37,49.4862,13.5823,32.72,80,99,6.64
198,Saskylakh,RU,2022-11-28 01:54:37,71.9167,114.0833,-22.95,100,100,4.14
199,Sabang,ID,2022-11-28 01:54:37,5.8933,95.3214,81.12,75,93,5.55
200,Bridgetown,BB,2022-11-28 01:54:35,13.1,-59.6167,81.09,69,40,20.71
201,Sainte-Anne-Des-Monts,CA,2022-11-28 01:54:38,49.124,-66.4924,35.47,87,100,8.05
202,Ligayan,PH,2022-11-28 01:54:38,4.6533,119.4706,82.65,70,90,2.93
203,Geraldton,AU,2022-11-28 01:54:39,-28.7667,114.6,90.01,20,0,11.5
204,Sitka,US,2022-11-28 01:54:39,57.0531,-135.33,30.36,73,15,4.43
205,Provideniya,RU,2022-11-28 01:54:39,64.3833,-173.3,21.31,79,100,11.18
206,Fortuna,US,2022-11-28 01:54:40,40.5982,-124.1573,50.99,85,75,5.75
207,Oyama,JP,2022-11-28 01:54:40,36.3,139.8,54.59,48,100,1.83
208,Chernyshevskiy,RU,2022-11-28 01:54:40,63.0128,112.4714,-16.85,95,100,9.42
209,College,US,2022-11-28 01:54:41,64.8569,-147.8028,8.58,87,100,0.0
210,Dunda,TZ,2022-11-28 01:54:41,-8.1167,34.25,66.16,66,35,1.59
211,Grindavik,IS,2022-11-28 01:54:41,63.8424,-22.4338,36.07,80,75,12.66
212,Katsuura,JP,2022-11-28 01:54:42,35.1333,140.3,63.43,69,100,10.89
213,Borovoy,RU,2022-11-28 01:54:42,55.4333,86.0833,-20.92,76,75,2.24
214,Anchorage,US,2022-11-28 01:54:06,61.2181,-149.9003,11.32,80,40,0.0
215,Am Timan,TD,2022-11-28 01:54:43,11.0297,20.2827,74.32,25,19,6.29
216,Pantai Remis,MY,2022-11-28 01:54:43,4.4557,100.6288,78.82,78,40,1.7
217,Basco,PH,2022-11-28 01:54:43,20.4487,121.9702,81.32,77,40,17.52
218,Iqaluit,CA,2022-11-28 01:54:44,63.7506,-68.5145,1.13,85,100,29.93
219,Benghazi,LY,2022-11-28 01:54:44,32.1167,20.0667,60.15,77,47,15.75
220,Shingu,JP,2022-11-28 01:54:45,33.7333,135.9833,65.28,57,97,2.75
221,Enshi,CN,2022-11-28 01:54:45,30.3,109.4833,64.51,91,100,2.68
222,Arman,RU,2022-11-28 01:54:45,59.7,150.1667,6.21,97,100,17.16
223,Plouzane,FR,2022-11-28 01:54:46,48.3833,-4.6167,51.85,87,75,14.97
224,Tasiilaq,GL,2022-11-28 01:54:46,65.6145,-37.6368,9.79,59,3,7.36
